id,operation,name,band,universe,album,garments,collections,campaigns,commercialPriority,visibilityTier,legacyCategory,tags
"1061","tags-backfill","Master of Puppets","Metallica","Thrash Metal; Heavy Metal Classics","Master of Puppets","remera","Metallica Albums","-","82","featured","Metallica","Metallica; Thrash Metal; Heavy Metal Classics; Master of Puppets; remera; Metallica Albums"
"1062","tags-backfill","...And Justice for All","Metallica","Thrash Metal; Heavy Metal Classics","...And Justice for All","remera","Metallica Archive; ...And Justice for All","-","82","featured","Metallica","Metallica; Thrash Metal; Heavy Metal Classics; ...And Justice for All; remera; Metallica Archive"
"1063","tags-backfill","Metallica Early Years","Metallica","Thrash Metal; Heavy Metal Classics","-","remera","Metallica Archive","-","68","catalog","Metallica","Metallica; Thrash Metal; Heavy Metal Classics; remera; Metallica Archive"
"2001","tags-backfill","Avenged Sevenfold Collection","Avenged Sevenfold","Modern Metal","-","remera","Avenged Sevenfold Archive","-","82","featured","Avenged Sevenfold","Avenged Sevenfold; Modern Metal; remera; Avenged Sevenfold Archive"
"2002","tags-backfill","Avenged Sevenfold Dorsos","Avenged Sevenfold","Modern Metal","-","remera","Avenged Sevenfold Archive","-","78","featured","Avenged Sevenfold","Avenged Sevenfold; Modern Metal; remera; Avenged Sevenfold Archive"
"5003","tags-backfill","Black Sabbath","Black Sabbath","Heavy Metal Classics; Rock Legends","-","remera","Black Sabbath Archive","-","82","featured","Bandas Sugeridas","Black Sabbath; Heavy Metal Classics; Rock Legends; remera; Black Sabbath Archive"
"5006","tags-backfill","Gojira","Gojira","Modern Metal","-","remera","Gojira Archive","-","78","featured","Bandas Sugeridas","Gojira; Modern Metal; remera; Gojira Archive"
"5017","tags-backfill","Sodom - Agent Orange","Sodom","Thrash Metal","Agent Orange","remera","Sodom Archive; Agent Orange","-","76","featured","Bandas Sugeridas","Sodom; Thrash Metal; Agent Orange; remera; Sodom Archive"
"5117","tags-backfill","Sodom - Logo","Sodom","Thrash Metal","-","remera","Sodom Archive","-","64","catalog","Bandas Sugeridas","Sodom; Thrash Metal; remera; Sodom Archive"
"5123","tags-backfill","Testament","Testament","Thrash Metal","-","remera","Testament Archive","-","76","featured","Bandas Sugeridas","Testament; Thrash Metal; remera; Testament Archive"
"5031","tags-backfill","Black Label","Black Label Society","Groove Metal; Heavy Metal Classics; Custom Archive","-","remera","Personalizados FMD","-","56","catalog","Personalizados","Black Label Society; Groove Metal; Heavy Metal Classics; Custom Archive; remera; Personalizados FMD"
"5032","tags-backfill","Iron Maiden Book","Iron Maiden","Heavy Metal Classics","The Book of Souls","remera","Archivo Maiden; The Book of Souls","-","68","catalog","Iron Maiden","Iron Maiden; Heavy Metal Classics; The Book of Souls; remera; Archivo Maiden"
"5033","tags-backfill","Iron Maiden Can I","Iron Maiden","Heavy Metal Classics","Seventh Son of a Seventh Son","remera","Archivo Maiden; Seventh Son of a Seventh Son","-","68","catalog","Iron Maiden","Iron Maiden; Heavy Metal Classics; Seventh Son of a Seventh Son; remera; Archivo Maiden"
"5034","tags-backfill","Iron Maiden The Book","Iron Maiden","Heavy Metal Classics","The Book of Souls","remera","Archivo Maiden; The Book of Souls","-","68","catalog","Iron Maiden","Iron Maiden; Heavy Metal Classics; The Book of Souls; remera; Archivo Maiden"
"5035","tags-backfill","Iron Maiden Brave","Iron Maiden","Heavy Metal Classics","Brave New World","remera","Archivo Maiden; Brave New World","-","68","catalog","Iron Maiden","Iron Maiden; Heavy Metal Classics; Brave New World; remera; Archivo Maiden"
"5036","tags-backfill","Iron Maiden Killers","Iron Maiden","Heavy Metal Classics","Killers","remera","Archivo Maiden; Killers","-","79","featured","Iron Maiden","Iron Maiden; Heavy Metal Classics; Killers; remera; Archivo Maiden"
"5037","tags-backfill","Iron Maiden Somewhere","Iron Maiden","Heavy Metal Classics","Somewhere in Time","remera","Archivo Maiden; Somewhere in Time","-","68","catalog","Iron Maiden","Iron Maiden; Heavy Metal Classics; Somewhere in Time; remera; Archivo Maiden"
"5038","tags-backfill","Iron Maiden Fear","Iron Maiden","Heavy Metal Classics","Fear of the Dark","remera","Archivo Maiden; Fear of the Dark","-","84","featured","Iron Maiden","Iron Maiden; Heavy Metal Classics; Fear of the Dark; remera; Archivo Maiden"
"5040","tags-backfill","Angus Young V1","AC/DC","Rock Legends; Heavy Metal Classics","-","remera","AC/DC Archive; Angus Young","-","64","catalog","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; remera; AC/DC Archive; Angus Young"
"5041","tags-backfill","Black Ice","AC/DC","Rock Legends; Heavy Metal Classics","Black Ice","remera","AC/DC Archive; Black Ice","-","76","featured","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; Black Ice; remera; AC/DC Archive"
"5042","tags-backfill","Fly on the Wall","AC/DC","Rock Legends; Heavy Metal Classics","Fly on the Wall","remera","AC/DC Archive; Fly on the Wall","-","64","catalog","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; Fly on the Wall; remera; AC/DC Archive"
"5043","tags-backfill","For Those Remastered","AC/DC","Rock Legends; Heavy Metal Classics","For Those About to Rock We Salute You","remera","AC/DC Archive; For Those About to Rock We Salute You","-","64","catalog","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; For Those About to Rock We Salute You; remera; AC/DC Archive"
"5044","tags-backfill","Let There Be Rock (Black)","AC/DC","Rock Legends; Heavy Metal Classics","Let There Be Rock","remera","AC/DC Archive; Let There Be Rock","-","77","featured","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; Let There Be Rock; remera; AC/DC Archive"
"5045","tags-backfill","Let There Be Rock (White)","AC/DC","Rock Legends; Heavy Metal Classics","Let There Be Rock","remera","AC/DC Archive; Let There Be Rock","-","77","featured","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; Let There Be Rock; remera; AC/DC Archive"
"5046","tags-backfill","Highway to Hell V1","AC/DC","Rock Legends; Heavy Metal Classics","Highway to Hell","remera","AC/DC Archive; Highway to Hell","-","82","featured","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; Highway to Hell; remera; AC/DC Archive"
"5047","tags-backfill","AC/DC Argentina","AC/DC","Rock Legends; Heavy Metal Classics","-","remera","AC/DC Archive; Edicion Argentina","Argentina 2026","78","featured","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; remera; AC/DC Archive; Edicion Argentina; Argentina 2026"
"5048","tags-backfill","For Those Angus","AC/DC","Rock Legends; Heavy Metal Classics","For Those About to Rock We Salute You","remera","AC/DC Archive; For Those About to Rock We Salute You; Angus Young","-","64","catalog","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; For Those About to Rock We Salute You; remera; AC/DC Archive; Angus Young"
"5049","tags-backfill","High Voltage","AC/DC","Rock Legends; Heavy Metal Classics","High Voltage","remera","AC/DC Archive; High Voltage","-","76","featured","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; High Voltage; remera; AC/DC Archive"
"5127","tags-backfill","Power Up","AC/DC","Rock Legends; Heavy Metal Classics","Power Up","remera","AC/DC Archive; Power Up","-","80","featured","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; Power Up; remera; AC/DC Archive"
"5128","tags-backfill","Angus Black & White","AC/DC","Rock Legends; Heavy Metal Classics","-","remera","AC/DC Archive; Angus Young","-","64","catalog","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; remera; AC/DC Archive; Angus Young"
"5052","tags-backfill","Highway Circular","AC/DC","Rock Legends; Heavy Metal Classics","Highway to Hell","remera","AC/DC Archive; Highway to Hell","-","64","catalog","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; Highway to Hell; remera; AC/DC Archive"
"5102","tags-backfill","Are You Ready","AC/DC","Rock Legends; Heavy Metal Classics","The Razors Edge","remera","AC/DC Archive; The Razors Edge","-","79","featured","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; The Razors Edge; remera; AC/DC Archive"
"5103","tags-backfill","AC/DC PWR UP","AC/DC","Rock Legends; Heavy Metal Classics","Power Up","remera","AC/DC Archive; Power Up","-","81","featured","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; Power Up; remera; AC/DC Archive"
"6010","tags-backfill","Brian Camiseta Argentina","AC/DC","Rock Legends; Heavy Metal Classics","-","remera","AC/DC Archive","Argentina 2026","64","catalog","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; remera; AC/DC Archive; Argentina 2026"
"6011","tags-backfill","Angus Young Electric","AC/DC","Rock Legends; Heavy Metal Classics","-","remera","AC/DC Archive; Angus Young","-","64","catalog","AC/DC","AC/DC; Rock Legends; Heavy Metal Classics; remera; AC/DC Archive; Angus Young"
"6004","tags-backfill","Hoodie Iron Maiden","Iron Maiden","Heavy Metal Classics","-","hoodie","Archivo Maiden","-","68","catalog","Hoodies Otras Bandas","Iron Maiden; Heavy Metal Classics; hoodie; Archivo Maiden"
"6005","tags-backfill","Hoodie Iron Maiden 666","Iron Maiden","Heavy Metal Classics","The Number of the Beast","hoodie","Archivo Maiden; The Number of the Beast","-","78","featured","Hoodies Otras Bandas","Iron Maiden; Heavy Metal Classics; The Number of the Beast; hoodie; Archivo Maiden"
"6006","tags-backfill","Hoodie Iron Maiden Killers v1","Iron Maiden","Heavy Metal Classics","Killers","hoodie","Archivo Maiden; Killers","-","77","featured","Hoodies Otras Bandas","Iron Maiden; Heavy Metal Classics; Killers; hoodie; Archivo Maiden"
"6007","tags-backfill","Hoodie Iron Maiden Killers v2","Iron Maiden","Heavy Metal Classics","Killers","hoodie","Archivo Maiden; Killers","-","77","featured","Hoodies Otras Bandas","Iron Maiden; Heavy Metal Classics; Killers; hoodie; Archivo Maiden"
"6008","tags-backfill","Hoodie Pantera","Pantera","Groove Metal; Heavy Metal Classics","-","hoodie","Pantera Archive","-","76","featured","Hoodies Otras Bandas","Pantera; Groove Metal; Heavy Metal Classics; hoodie; Pantera Archive"
"6018","tags-backfill","Hoodie Black Sabbath The End","Black Sabbath","Heavy Metal Classics; Rock Legends","-","hoodie","Black Sabbath Archive","-","78","featured","Hoodies Otras Bandas","Black Sabbath; Heavy Metal Classics; Rock Legends; hoodie; Black Sabbath Archive"
"6019","tags-backfill","Hoodie Black Sabbath Tour","Black Sabbath","Heavy Metal Classics; Rock Legends","-","hoodie","Black Sabbath Archive; Tour Archive","Tour Archive","77","featured","Hoodies Otras Bandas","Black Sabbath; Heavy Metal Classics; Rock Legends; hoodie; Black Sabbath Archive; Tour Archive"
"6021","tags-backfill","Hoodie AC/DC Are You Ready","AC/DC","Rock Legends; Heavy Metal Classics","The Razors Edge","hoodie","AC/DC Archive; The Razors Edge","-","77","featured","Hoodies Otras Bandas","AC/DC; Rock Legends; Heavy Metal Classics; The Razors Edge; hoodie; AC/DC Archive"
